date_today,age_years,weight_kg_today,sleep_score_today,sleep_hours_today,sleep_efficiency_pct_today,resting_hr_bpm_today,hrv_ms_today,body_battery_today,stress_score_today,soreness_score_today,vo2max_est_today,respiration_rate_sleep_today,spo2_avg_pct_today,hydration_l_today,yesterday_activity_type,yesterday_duration_min,yesterday_distance_km,yesterday_avg_hr_bpm,yesterday_max_hr_bpm,yesterday_training_rpe,yesterday_training_load,yesterday_steps,yesterday_calories_burned,acute_load_3d,rolling_load_7d,recovery_signal,readiness_score_today,suggested_activity_today,actual_activity_type_today,actual_duration_min_today
2024-05-08,30,98.5,71,5.35,82.2,59,59,50,43,6,43.4,16.7,96.5,3.29,Recovery Ride,41,16.85,124,152,3,112,8783,2531,412.3,426.0,63,52,Recovery Walk,Weightlifting,55
2024-05-09,30,98.6,78,5.61,79.8,61,43,68,61,8,43.4,16.0,96.9,3.03,Weightlifting,55,0.0,107,152,5,295,10047,3167,343.3,410.7,60,46,Rest / Mobility,Tempo Run,54
2024-05-10,30,98.7,63,5.46,84.8,57,38,67,46,10,43.4,15.8,97.1,3.27,Tempo Run,54,7.5,150,171,8,572,13241,3336,326.3,449.9,57,39,Rest / Mobility,Easy Run,44
2024-05-11,30,98.9,81,6.74,77.5,58,51,73,32,8,43.5,15.6,96.9,3.22,Easy Run,44,4.93,133,165,5,249,11814,2798,372.0,393.3,68,53,Recovery Walk,Long Run,95
2024-05-12,30,99.0,62,6.16,71.6,60,50,57,68,8,43.5,15.9,97.5,2.68,Long Run,95,11.46,137,162,6,727,14447,3818,516.0,440.0,56,39,Rest / Mobility,Easy Run,38
2024-05-13,30,99.0,80,7.03,78.4,58,36,59,56,6,43.4,14.6,97.2,2.79,Easy Run,38,5.12,128,146,4,172,11379,2662,382.7,392.9,62,52,Recovery Walk,Weightlifting,58
2024-05-14,30,99.0,62,5.56,74.7,57,49,50,62,5,43.5,14.9,97.2,3.37,Weightlifting,58,0.0,116,147,8,566,11221,3227,488.3,384.7,58,43,Rest / Mobility,Easy Run,38
2024-05-15,30,99.0,94,6.54,87.5,59,38,85,51,7,43.5,16.2,98.5,3.08,Easy Run,38,4.75,141,166,4,164,8959,2251,300.7,392.1,69,67,Weightlifting,Weightlifting,67
2024-05-16,30,98.8,65,6.06,76.5,59,36,66,62,8,43.4,15.7,97.5,3.04,Weightlifting,67,0.0,124,163,9,675,11164,3064,468.3,446.4,56,35,Rest / Mobility,Easy Run,51
2024-05-17,30,98.4,81,5.99,76.1,59,44,75,61,7,43.4,15.8,96.8,2.86,Easy Run,51,6.89,126,156,6,350,11270,2710,396.3,414.7,64,54,Recovery Walk,Weightlifting,51
2024-05-18,30,98.5,82,7.22,84.7,59,37,65,62,10,43.3,15.4,97.1,3.1,Weightlifting,51,0.0,117,161,8,524,11542,3139,516.3,454.0,59,38,Rest / Mobility,Intermediate Run,53
2024-05-19,30,98.6,75,6.02,76.0,58,54,66,65,8,43.2,16.2,97.1,2.5,Intermediate Run,53,6.75,151,178,5,318,9049,2791,397.3,395.6,62,47,Rest / Mobility,Rest / Mobility,30
2024-05-20,30,98.6,82,6.74,75.1,60,36,86,47,7,43.2,15.8,96.9,2.78,Rest / Mobility,30,0.0,75,100,1,20,6185,2526,287.3,373.9,66,58,Weightlifting,Weightlifting,66
2024-05-21,30,98.4,65,6.16,77.4,53,41,79,69,8,43.2,15.6,97.4,3.06,Weightlifting,66,0.0,123,167,7,566,9907,3260,301.3,373.9,61,48,Recovery Walk,Intermediate Run,59
2024-05-22,30,98.4,83,6.68,78.6,60,39,63,60,9,43.2,14.8,97.2,2.47,Intermediate Run,59,7.79,145,166,6,404,13173,3062,330.0,408.1,60,46,Rest / Mobility,Weightlifting,65
2024-05-23,30,98.3,68,7.26,70.5,58,29,55,71,8,43.1,14.9,96.8,3.23,Weightlifting,65,0.0,118,146,9,672,11317,3233,547.3,407.7,54,34,Rest / Mobility,Easy Run,46
2024-05-24,30,98.3,81,5.83,79.7,61,55,57,56,5,43.1,15.9,97.6,2.82,Easy Run,46,5.56,141,169,5,259,12747,2822,445.0,394.7,64,53,Recovery Walk,Weightlifting,75
2024-05-25,30,98.0,77,7.84,70.5,63,42,62,53,7,43.0,14.4,97.9,3.63,Weightlifting,75,0.0,106,143,8,766,12057,3314,565.7,429.3,61,46,Rest / Mobility,Long Run,56
2024-05-26,30,98.0,88,5.81,80.8,56,44,66,67,7,43.1,15.9,98.0,2.68,Long Run,56,7.51,139,168,6,400,11544,3272,475.0,441.0,65,60,Weightlifting,Rest / Mobility,33
2024-05-27,30,97.9,95,6.84,87.7,57,47,68,59,7,43.1,15.1,97.3,2.74,Rest / Mobility,33,0.0,74,89,1,24,6753,2337,396.7,441.6,68,64,Weightlifting,Weightlifting,47
2024-05-28,30,98.0,78,6.24,75.3,58,37,78,74,7,42.9,16.2,96.8,2.5,Weightlifting,47,0.0,121,154,8,490,12014,2940,304.7,430.7,62,49,Recovery Walk,Intermediate Run,57
2024-05-29,30,97.8,73,6.84,78.6,58,48,62,64,10,42.8,16.5,97.2,2.35,Intermediate Run,57,6.89,151,178,6,390,13216,2804,301.3,428.7,59,45,Rest / Mobility,Weightlifting,64
2024-05-30,30,97.9,62,6.37,86.1,59,32,56,69,7,42.8,15.7,97.3,2.24,Weightlifting,64,0.0,108,155,9,703,10713,3391,527.7,433.1,53,38,Rest / Mobility,Easy Run,32
2024-05-31,30,98.0,86,7.1,70.0,57,42,74,53,6,42.7,15.0,96.6,2.91,Easy Run,32,3.79,139,162,6,188,8734,2674,427.0,423.0,68,64,Weightlifting,Weightlifting,40
2024-06-01,30,98.2,81,5.74,75.1,56,39,72,71,7,42.7,16.4,98.0,2.94,Weightlifting,40,0.0,110,162,7,358,9699,2857,416.3,364.7,62,52,Recovery Walk,Long Run,86
2024-06-02,30,98.3,84,6.98,80.6,60,30,80,49,6,42.7,16.7,98.7,2.99,Long Run,86,11.2,146,172,7,731,13640,3610,425.7,412.0,65,54,Recovery Walk,Rest / Mobility,37
2024-06-03,30,98.4,97,6.58,91.4,57,58,89,55,4,42.8,14.5,97.5,2.7,Rest / Mobility,37,0.0,84,103,2,16,9286,2579,368.3,410.9,78,75,Intermediate Run,Weightlifting,55
2024-06-04,30,98.5,75,6.81,73.0,60,49,59,58,5,42.8,16.1,97.4,3.03,Weightlifting,55,0.0,119,160,6,432,12184,2973,393.0,402.6,63,53,Recovery Walk,Intermediate Run,45
2024-06-05,30,98.6,85,6.82,80.6,57,25,81,54,5,42.9,15.4,97.7,3.14,Intermediate Run,45,6.29,149,183,6,321,11133,2724,256.3,392.7,66,65,Weightlifting,Weightlifting,49
2024-06-06,30,98.5,80,6.58,76.7,55,46,56,47,5,42.8,15.3,97.9,3.54,Weightlifting,49,0.0,116,146,6,347,8025,3000,366.7,341.9,67,58,Easy Run,Tempo Run,38
2024-06-07,30,98.3,75,6.35,75.8,60,51,77,57,5,42.8,15.8,96.6,2.76,Tempo Run,38,5.89,157,176,9,477,9190,3293,381.7,383.1,66,52,Recovery Walk,Weightlifting,49
2024-06-08,30,98.1,72,6.27,77.3,61,51,41,53,6,42.7,15.6,96.4,2.92,Weightlifting,49,0.0,115,163,6,309,9606,2825,377.7,376.1,59,49,Recovery Walk,Recovery Ride,51
2024-06-09,30,98.4,78,6.29,79.4,58,56,78,49,8,42.6,15.0,97.5,3.18,Recovery Ride,51,15.69,130,158,3,162,10083,2711,316.0,294.9,67,54,Recovery Walk,Rest / Mobility,37
2024-06-10,30,98.5,93,6.71,82.7,58,36,89,65,6,42.6,14.6,97.5,2.88,Rest / Mobility,37,0.0,84,101,2,27,7543,2605,166.0,296.4,69,71,Intermediate Run,Weightlifting,42
2024-06-11,30,98.7,80,6.75,73.4,58,44,62,58,9,42.5,14.7,98.0,3.0,Weightlifting,42,0.0,120,151,6,308,10419,2731,165.7,278.7,61,51,Recovery Walk,Easy Run,53
2024-06-12,30,98.6,78,6.58,80.0,57,37,55,52,7,42.5,16.0,97.9,2.65,Easy Run,53,5.97,129,159,6,353,12632,2828,229.3,283.3,61,55,Recovery Walk,Weightlifting,50
2024-06-13,30,99.0,85,6.48,82.2,56,49,79,53,8,42.4,15.5,97.7,3.39,Weightlifting,50,0.0,124,161,5,259,10349,2839,306.7,270.7,68,62,Easy Run,Tempo Run,36
2024-06-14,30,98.9,92,6.84,77.3,56,48,69,74,10,42.4,15.3,97.6,2.63,Tempo Run,36,4.74,154,179,7,307,8702,3014,306.3,246.4,64,52,Recovery Walk,Weightlifting,51
2024-06-15,30,99.0,76,6.68,75.1,62,32,71,57,7,42.4,15.8,97.4,3.43,Weightlifting,51,0.0,107,140,5,306,9865,2602,290.7,246.0,60,53,Recovery Walk,Intermediate Run,56
2024-06-16,30,99.0,91,6.24,93.2,56,32,80,66,8,42.2,15.6,97.3,2.81,Intermediate Run,56,6.7,152,181,5,320,11325,2749,311.0,268.6,65,59,Weightlifting,Rest / Mobility,34
2024-06-17,30,98.8,97,6.69,95.4,56,55,87,57,7,42.3,14.7,97.5,3.62,Rest / Mobility,34,0.0,80,102,1,24,8114,2357,216.7,268.1,74,75,Intermediate Run,Weightlifting,58
2024-06-18,30,98.6,85,6.28,83.4,56,43,63,50,7,42.3,17.0,97.3,3.04,Weightlifting,58,0.0,122,168,6,376,9327,2894,240.0,277.9,65,65,Easy Run,Weightlifting,59
2024-06-19,30,98.6,81,5.57,70.0,59,35,72,41,8,42.2,16.1,96.6,3.01,Weightlifting,59,0.0,122,163,7,479,11740,3294,293.0,295.9,63,50,Recovery Walk,Weightlifting,64
2024-06-20,30,98.9,78,6.22,73.5,60,40,65,48,7,42.3,17.1,96.6,3.13,Weightlifting,64,0.0,117,148,6,435,11246,2932,430.0,321.0,62,52,Recovery Walk,Intermediate Run,44
2024-06-21,30,98.8,80,6.64,80.4,61,51,60,47,6,42.3,15.6,97.7,2.62,Intermediate Run,44,6.59,142,162,7,365,11376,3047,426.3,329.3,65,55,Recovery Walk,Weightlifting,43
2024-06-22,30,98.7,71,5.45,75.5,61,38,40,71,7,42.1,15.3,97.0,2.73,Weightlifting,43,0.0,121,172,8,433,9224,2992,411.0,347.4,52,38,Rest / Mobility,Recovery Walk,44
2024-06-23,30,98.8,84,7.05,72.8,59,47,76,51,7,42.1,16.4,97.5,3.06,Recovery Walk,44,3.75,95,113,4,150,11116,2795,316.0,323.1,67,59,Weightlifting,Recovery Walk,38
2024-06-24,30,98.8,92,6.13,87.6,56,44,82,60,6,42.2,16.3,97.8,3.01,Recovery Walk,38,3.26,85,104,3,92,11222,2597,225.0,332.9,70,70,Intermediate Run,Weightlifting,63
2024-06-25,30,99.0,77,7.44,77.4,57,34,56,53,6,42.2,16.1,96.7,3.16,Weightlifting,63,0.0,124,157,5,410,9615,3057,217.3,337.7,62,55,Recovery Walk,Intermediate Run,48
2024-06-26,30,99.0,84,6.91,73.0,59,47,58,50,8,42.1,15.9,96.4,2.57,Intermediate Run,48,5.62,140,172,7,442,12616,2854,314.7,332.4,63,50,Recovery Walk,Weightlifting,72
2024-06-27,30,98.9,72,6.06,81.4,57,34,40,65,5,42.0,15.5,97.5,3.18,Weightlifting,72,0.0,110,143,7,644,12282,3358,498.7,362.3,56,45,Rest / Mobility,Recovery Walk,48
2024-06-28,30,99.0,78,6.72,82.1,59,51,56,53,6,41.9,15.6,97.9,2.85,Recovery Walk,48,4.26,94,121,2,90,11258,2657,392.0,323.0,64,54,Recovery Walk,Weightlifting,54
2024-06-29,30,99.0,92,6.9,84.0,61,44,86,59,8,41.9,16.5,96.7,3.03,Weightlifting,54,0.0,123,174,8,561,10836,3242,431.7,341.3,68,48,Recovery Walk,Recovery Ride,58
2024-06-30,30,99.0,83,5.53,81.6,57,43,88,60,5,42.0,16.7,97.1,3.42,Recovery Ride,58,15.39,130,148,4,228,8750,2855,293.0,352.4,69,61,Weightlifting,Recovery Walk,46
2024-07-01,30,99.0,93,7.12,86.9,57,58,71,54,7,42.0,16.1,97.3,3.44,Recovery Walk,46,3.89,95,111,4,160,9319,2607,316.3,362.1,71,69,Intermediate Run,Weightlifting,41
2024-07-02,30,99.0,69,6.28,79.7,59,41,75,75,7,41.9,15.6,96.9,3.1,Weightlifting,41,0.0,120,166,7,375,9654,2520,254.3,357.1,59,52,Recovery Walk,Intermediate Run,37
2024-07-03,30,98.9,87,6.79,74.5,57,44,80,58,7,41.9,15.5,97.0,2.72,Intermediate Run,37,5.01,145,179,7,299,9088,2802,278.0,336.7,68,60,Weightlifting,Weightlifting,66
2024-07-04,30,98.8,74,6.28,77.2,58,46,70,55,6,41.8,15.4,96.9,2.79,Weightlifting,66,0.0,104,137,5,431,9251,2990,368.3,306.3,64,55,Recovery Walk,Intermediate Run,50
2024-07-05,30,99.0,76,6.77,75.7,57,42,55,64,4,41.8,15.8,97.2,2.77,Intermediate Run,50,5.73,141,175,7,392,11002,2924,374.0,349.4,63,53,Recovery Walk,Weightlifting,74
2024-07-06,30,99.0,63,5.71,78.1,61,38,52,58,10,41.8,16.6,97.5,3.04,Weightlifting,74,0.0,115,161,6,564,10585,3214,462.3,349.9,51,35,Rest / Mobility,Weightlifting,71
2024-07-07,30,98.8,77,6.54,82.7,56,42,81,71,8,41.9,15.4,96.3,3.23,Weightlifting,71,0.0,121,162,7,500,12007,2915,485.3,388.7,63,47,Rest / Mobility,Rest / Mobility,34
2024-07-08,30,98.7,98,6.44,90.1,62,46,86,40,8,41.9,15.5,96.7,2.49,Rest / Mobility,34,0.0,86,101,2,13,8061,2420,359.0,367.7,71,64,Weightlifting,Weightlifting,63
2024-07-09,30,98.8,67,6.14,82.7,59,52,51,55,7,41.8,15.7,96.9,3.56,Weightlifting,63,0.0,118,167,7,472,10125,3001,328.3,381.6,59,50,Recovery Walk,Intermediate Run,38
2024-07-10,30,98.6,73,6.27,74.3,60,52,54,65,4,41.7,15.6,96.7,2.7,Intermediate Run,38,5.62,151,178,5,237,11347,2728,240.7,372.7,62,55,Recovery Walk,Weightlifting,41
2024-07-11,30,98.2,65,5.21,70.0,60,25,49,62,10,41.7,15.8,97.2,3.02,Weightlifting,41,0.0,103,141,6,318,9335,2750,342.3,356.6,48,34,Rest / Mobility,Weightlifting,53
2024-07-12,30,98.1,98,8.6,70.0,58,45,80,53,7,41.6,14.8,97.5,3.02,Weightlifting,53,0.0,104,156,9,503,10263,3084,352.7,372.4,73,60,Easy Run,Weightlifting,53
2024-07-13,30,98.2,71,6.4,80.3,60,48,78,59,9,41.6,16.3,96.8,3.18,Weightlifting,53,0.0,127,163,7,469,9464,3143,430.0,358.9,61,45,Rest / Mobility,Recovery Ride,35
2024-07-14,30,98.1,86,6.83,77.9,62,50,80,54,5,41.6,16.1,97.9,3.23,Recovery Ride,35,10.4,122,142,5,159,8397,2599,377.0,310.1,69,67,Weightlifting,Recovery Walk,31
2024-07-15,30,98.2,98,7.27,79.6,55,54,74,47,1,41.7,14.2,97.9,2.83,Recovery Walk,31,2.27,95,122,2,60,6967,2423,229.3,316.9,79,79,Tempo Run,Weightlifting,41
2024-07-16,30,98.3,97,7.81,88.3,57,47,79,36,4,41.7,15.6,97.3,2.78,Weightlifting,41,0.0,106,143,5,227,10810,2577,148.7,281.9,77,79,Tempo Run,Intermediate Run,48
2024-07-17,30,98.5,66,5.56,80.3,61,55,60,70,4,41.7,15.4,97.4,3.09,Intermediate Run,48,6.29,148,170,6,360,9195,2892,215.7,299.4,61,55,Recovery Walk,Weightlifting,46
2024-07-18,30,98.5,76,5.91,77.9,56,62,78,68,8,41.6,15.1,97.2,3.08,Weightlifting,46,0.0,116,160,6,352,9756,2640,313.0,304.3,66,53,Recovery Walk,Intermediate Run,60
2024-07-19,30,98.7,66,5.39,74.2,63,47,42,70,4,41.5,15.4,97.1,3.28,Intermediate Run,60,8.78,148,176,6,438,12801,2995,383.3,295.0,55,46,Rest / Mobility,Recovery Ride,38
2024-07-20,30,98.7,66,7.26,70.9,58,47,67,52,6,41.5,14.6,96.9,3.55,Recovery Ride,38,15.95,130,154,5,166,7053,2545,318.7,251.7,63,55,Recovery Walk,Long Run,83
2024-07-21,30,98.7,64,5.32,75.2,56,43,58,63,7,41.4,15.5,97.4,2.56,Long Run,83,8.51,134,157,8,778,13743,3735,460.7,340.1,57,42,Rest / Mobility,Rest / Mobility,39
2024-07-22,30,98.6,78,5.32,84.4,59,52,51,59,6,41.4,16.6,96.7,2.63,Rest / Mobility,39,0.0,82,100,2,24,9084,2580,322.7,335.0,61,53,Recovery Walk,Weightlifting,67
2024-07-23,30,98.9,77,6.61,76.8,57,30,67,75,8,41.4,16.0,96.5,3.23,Weightlifting,67,0.0,105,155,5,422,9752,3001,408.0,362.9,58,43,Rest / Mobility,Intermediate Run,59
2024-07-24,30,98.9,88,7.44,82.4,59,40,84,58,4,41.5,15.5,97.3,2.51,Intermediate Run,59,7.79,151,174,6,422,14273,2904,289.3,371.7,71,70,Intermediate Run,Weightlifting,54
2024-07-25,30,99.0,70,5.44,82.3,60,35,71,75,9,41.6,15.9,96.8,3.1,Weightlifting,54,0.0,114,153,8,500,7748,3045,448.0,392.9,55,35,Rest / Mobility,Weightlifting,60
2024-07-26,30,99.0,79,6.64,72.0,60,27,54,57,7,41.5,15.8,97.3,2.48,Weightlifting,60,0.0,115,153,7,466,11884,2951,462.7,396.9,57,46,Rest / Mobility,Weightlifting,70
2024-07-27,30,99.0,81,6.42,75.4,58,41,74,43,10,41.4,15.4,97.1,3.18,Weightlifting,70,0.0,104,134,5,364,12708,3216,443.3,425.1,63,47,Rest / Mobility,Intermediate Run,58
2024-07-28,30,98.9,75,6.93,83.3,60,40,71,39,7,41.3,15.9,97.4,2.69,Intermediate Run,58,7.24,140,168,5,361,14023,2935,397.0,365.6,64,54,Recovery Walk,Rest / Mobility,30
2024-07-29,30,99.0,73,7.13,79.5,55,41,49,37,5,41.3,15.4,97.0,3.37,Rest / Mobility,30,0.0,75,93,2,23,7917,2323,249.3,365.4,64,57,Recovery Walk,Weightlifting,43
2024-07-30,30,98.7,73,5.48,76.6,58,39,51,71,6,41.2,15.1,96.7,3.42,Weightlifting,43,0.0,111,158,7,340,8321,2668,241.3,353.7,57,50,Recovery Walk,Intermediate Run,41
2024-07-31,30,98.8,77,6.98,81.1,58,36,77,47,8,41.4,16.6,96.9,3.21,Intermediate Run,41,4.76,145,168,5,238,11955,2763,200.3,327.4,64,53,Recovery Walk,Weightlifting,47
2024-08-01,30,98.7,58,5.41,82.1,58,46,51,69,8,41.4,15.1,96.8,3.6,Weightlifting,47,0.0,126,162,9,464,8753,2762,347.3,322.3,53,35,Rest / Mobility,Recovery Ride,70
2024-08-02,30,98.8,92,7.09,72.6,62,48,93,42,6,41.5,16.0,96.6,2.64,Recovery Ride,70,29.1,135,153,5,378,12530,3084,360.0,309.7,73,71,Intermediate Run,Weightlifting,57
2024-08-03,30,99.0,81,6.15,74.3,60,42,63,44,6,41.4,14.9,97.2,3.82,Weightlifting,57,0.0,101,135,7,499,11179,3082,447.0,329.0,64,53,Recovery Walk,Intermediate Run,45
2024-08-04,30,99.0,74,6.7,92.8,61,41,69,63,6,41.4,14.6,97.4,2.98,Intermediate Run,45,5.58,140,173,5,278,11346,2877,385.0,317.1,61,52,Recovery Walk,Rest / Mobility,24
2024-08-05,30,98.8,86,6.76,77.1,59,62,73,50,4,41.4,15.6,98.2,3.31,Rest / Mobility,24,0.0,72,85,1,22,8809,2431,266.3,317.0,73,73,Intermediate Run,Weightlifting,66
2024-08-06,30,98.8,80,6.32,74.1,60,35,80,71,8,41.2,15.9,96.7,3.18,Weightlifting,66,0.0,115,154,6,458,11387,3151,252.7,333.9,61,49,Recovery Walk,Intermediate Run,59
2024-08-07,30,99.0,82,7.27,76.8,57,40,82,34,9,41.1,15.0,96.6,3.02,Intermediate Run,59,8.71,147,168,5,330,13366,2722,270.0,347.0,68,55,Recovery Walk,Weightlifting,43
2024-08-08,30,99.0,80,6.63,73.8,56,51,77,64,8,41.3,15.6,96.5,3.77,Weightlifting,43,0.0,122,153,7,350,7770,2952,379.3,330.7,66,52,Recovery Walk,Tempo Run,54
2024-08-09,30,99.0,68,6.67,78.2,61,61,59,51,4,41.2,16.2,97.4,2.99,Tempo Run,54,7.43,154,175,9,572,10672,3299,417.3,358.4,65,51,Recovery Walk,Weightlifting,58
2024-08-10,30,99.0,86,7.19,70.8,60,53,57,44,8,41.1,16.6,97.5,3.33,Weightlifting,58,0.0,123,172,9,605,9119,3250,509.0,373.6,65,45,Rest / Mobility,Long Run,57
2024-08-11,30,99.0,95,7.59,77.1,60,41,73,53,7,41.0,15.3,97.0,2.93,Long Run,57,6.14,133,151,6,412,13621,3104,529.7,392.7,68,64,Weightlifting,Recovery Walk,38
2024-08-12,30,98.8,72,6.05,73.1,53,45,84,48,5,41.1,15.3,97.2,3.04,Recovery Walk,38,3.39,93,113,2,60,10079,2402,359.0,398.1,70,60,Weightlifting,Weightlifting,67
2024-08-13,30,98.7,61,5.88,77.1,60,36,73,74,8,41.0,16.2,96.8,3.51,Weightlifting,67,0.0,106,139,8,640,13363,3043,370.7,424.1,55,36,Rest / Mobility,Intermediate Run,52
2024-08-14,30,98.8,73,5.57,74.5,58,58,47,69,9,41.0,15.4,97.4,3.7,Intermediate Run,52,7.45,150,175,5,301,12753,2851,333.7,420.0,57,43,Rest / Mobility,Weightlifting,67
2024-08-15,30,99.0,70,5.05,81.9,58,59,52,64,10,41.0,15.3,97.1,2.86,Weightlifting,67,0.0,102,144,5,418,11076,3097,453.0,429.7,57,41,Rest / Mobility,Recovery Ride,60
2024-08-16,30,99.0,83,6.11,78.1,60,28,79,64,9,41.0,16.2,97.4,3.06,Recovery Ride,60,22.24,131,153,3,171,9048,2710,296.7,372.4,59,46,Rest / Mobility,Easy Run,55
2024-08-17,30,99.0,74,7.18,81.4,56,45,63,51,7,41.0,16.0,96.6,3.71,Easy Run,55,7.61,140,171,6,388,11857,3206,325.7,341.4,64,55,Recovery Walk,Intermediate Run,38
2024-08-18,30,99.0,77,6.43,72.2,57,25,84,70,6,41.0,15.0,98.0,2.91,Intermediate Run,38,4.55,147,173,7,294,10064,2680,284.3,324.6,62,54,Recovery Walk,Weightlifting,61
2024-08-19,30,99.0,74,5.7,76.4,58,41,61,63,8,41.0,15.2,96.5,2.53,Weightlifting,61,0.0,109,147,6,384,11913,2993,355.3,370.9,58,44,Rest / Mobility,Weightlifting,73
2024-08-20,30,99.0,68,6.27,70.0,58,34,52,75,9,41.0,14.8,97.0,2.83,Weightlifting,73,0.0,118,152,7,569,13089,3389,415.7,360.7,52,37,Rest / Mobility,Recovery Ride,44
2024-08-21,30,99.0,91,7.5,82.6,58,39,87,51,7,41.0,15.4,96.4,2.92,Recovery Ride,44,12.77,122,144,3,117,8597,2674,356.7,334.4,70,68,Intermediate Run,Weightlifting,49
2024-08-22,30,98.6,95,7.11,74.1,55,46,83,50,8,41.0,14.4,97.4,3.6,Weightlifting,49,0.0,125,178,5,269,10265,2721,318.3,313.1,72,66,Easy Run,Tempo Run,55
2024-08-23,30,98.7,82,5.79,77.5,55,34,83,80,7,41.0,16.8,97.9,2.47,Tempo Run,55,7.69,161,189,9,639,13929,3340,341.7,380.0,63,50,Recovery Walk,Weightlifting,60
2024-08-24,30,98.4,88,6.87,85.8,56,53,76,64,10,41.0,15.6,96.9,2.76,Weightlifting,60,0.0,122,160,6,412,10541,2971,440.0,383.4,67,58,Easy Run,Long Run,95
2024-08-25,30,98.4,74,6.67,81.7,58,32,64,52,3,41.0,16.2,97.2,3.32,Long Run,95,10.51,140,167,6,698,18388,3522,583.0,441.1,64,52,Recovery Walk,Rest / Mobility,34
2024-08-26,30,98.6,98,6.64,89.5,55,44,90,38,4,41.2,14.4,98.4,2.61,Rest / Mobility,34,0.0,86,98,1,21,8659,2565,377.0,389.3,78,75,Intermediate Run,Weightlifting,58
2024-08-27,30,98.4,69,5.83,76.3,60,42,70,65,10,41.2,16.1,97.8,2.63,Weightlifting,58,0.0,103,152,5,360,8962,2938,359.7,359.4,56,42,Rest / Mobility,Intermediate Run,49
2024-08-28,30,98.4,90,5.99,74.9,59,49,66,56,8,41.2,15.4,97.1,2.43,Intermediate Run,49,6.53,150,181,5,291,11868,2777,224.0,384.3,65,60,Weightlifting,Weightlifting,52
2024-08-29,30,98.2,74,6.84,73.6,61,49,48,61,5,41.2,16.7,96.7,3.17,Weightlifting,52,0.0,112,159,8,489,10394,3087,380.0,415.7,60,46,Rest / Mobility,Easy Run,44
2024-08-30,30,98.2,83,6.83,76.1,60,48,72,53,7,41.1,15.8,96.9,2.86,Easy Run,44,4.98,136,165,4,185,9188,2598,321.7,350.9,66,57,Recovery Walk,Weightlifting,55
2024-08-31,30,98.2,74,6.08,79.8,60,39,66,67,8,41.0,15.7,97.3,2.86,Weightlifting,55,0.0,123,166,8,521,10132,2956,398.3,366.4,58,39,Rest / Mobility,Long Run,78
2024-09-01,30,98.4,73,6.49,74.9,59,52,48,67,8,41.0,15.8,97.6,2.85,Long Run,78,8.82,141,165,7,702,14122,3893,469.3,367.0,58,42,Rest / Mobility,Easy Run,31
2024-09-02,30,98.8,82,6.48,78.9,61,42,57,57,7,41.0,16.0,96.7,3.33,Easy Run,31,4.14,136,155,5,143,10919,2537,455.3,384.4,61,50,Recovery Walk,Weightlifting,58
2024-09-03,30,99.0,83,6.73,82.7,61,49,65,54,8,41.0,15.5,97.7,3.48,Weightlifting,58,0.0,110,161,9,662,11960,3183,502.3,427.6,63,43,Rest / Mobility,Intermediate Run,53
2024-09-04,30,99.0,87,6.61,75.9,60,43,57,48,7,41.2,16.2,97.0,2.15,Intermediate Run,53,7.24,152,177,6,425,10800,2936,410.0,446.7,64,60,Weightlifting,Weightlifting,65
2024-09-05,30,98.9,72,6.99,87.0,55,37,66,62,9,41.0,14.4,97.6,2.73,Weightlifting,65,0.0,106,153,5,362,10807,2968,483.0,428.6,60,44,Rest / Mobility,Intermediate Run,60
2024-09-06,30,98.5,72,6.37,76.2,58,32,53,65,7,41.0,15.1,97.0,2.96,Intermediate Run,60,7.39,140,170,7,547,12574,3207,444.7,480.3,56,44,Rest / Mobility,Easy Run,51
2024-09-07,30,98.5,88,6.37,80.1,58,37,53,62,10,41.0,15.6,97.3,3.25,Easy Run,51,7.01,128,156,6,314,13349,2662,407.7,450.7,58,49,Recovery Walk,Intermediate Run,46
2024-09-08,30,98.2,89,6.7,73.6,60,38,83,55,6,41.0,14.7,97.4,2.63,Intermediate Run,46,5.63,141,166,6,312,12197,2829,391.0,395.0,68,65,Weightlifting,Rest / Mobility,24
2024-09-09,30,98.1,84,6.64,80.4,53,55,69,52,4,41.0,15.9,97.6,2.96,Rest / Mobility,24,0.0,74,90,1,26,5049,2381,217.3,378.3,73,66,Weightlifting,Weightlifting,74
2024-09-10,30,98.1,71,6.26,77.7,56,34,45,47,6,41.0,15.1,97.4,3.21,Weightlifting,74,0.0,127,179,9,709,11501,3357,349.0,385.0,59,46,Rest / Mobility,Intermediate Run,59
2024-09-11,30,98.1,70,5.89,80.6,59,32,40,60,7,41.0,15.0,96.9,2.76,Intermediate Run,59,7.95,147,173,5,326,13100,3003,353.7,370.9,53,44,Rest / Mobility,Recovery Ride,45
2024-09-12,30,98.3,88,7.08,72.6,61,46,70,52,8,41.0,15.1,96.9,2.65,Recovery Ride,45,16.77,119,143,4,183,9544,2599,406.0,345.3,65,57,Recovery Walk,Intermediate Run,49
2024-09-13,30,98.4,82,6.1,75.0,56,55,76,72,6,41.1,14.8,96.9,2.85,Intermediate Run,49,6.59,149,181,6,341,10303,2812,283.3,315.9,68,60,Weightlifting,Weightlifting,70
